Tabelle: 13111-54i
Sozialversicherungspflichtige Beschäftigte (Arbeitsort) nach;;;;;;;;;;;;;
Wirtschaftsabschnitte sowie Schul- und Berufsabschluss -;;;;;;;;;;;;;
kreisfreie Städte und Kreise - Stichtag (ab 2021);;;;;;;;;;;;;
Statistik der sozialversicherungspflichtig Beschäftigten;;;;;;;;;;;;;
Sozialversicherungspfl. Beschäftigte (Arbeitsort) (Anzahl);;;;;;;;;;;;;
;;;;Insgesamt;ohne Schulabschluss;mit Volks-/Haupschulabschluss;mit mittlerer Reife/gleichwertigem Abschluss;mit Abitur/Fachabitur;Abschluss unbekannt;ohne beruflichen Ausbildungsabschluss;mit anerkanntem Berufsabschluss;mit akademischem Abschluss;Ausbildung unbekannt
31.12.2024;    Warendorf, Kreis;G-T;Dienstleistungsbereich;63157;2995;10487;17795;23560;8320;11281;38488;8284;5104
31.12.2024;    Warendorf, Kreis;G-I;Handel, Gastgewerbe, Verkehr;21769;1402;4993;6431;5491;3452;4706;13076;1461;2526
31.12.2024;    Warendorf, Kreis;J;Information und Kommunikation;982;6;86;232;569;89;129;555;210;88
31.12.2024;    Warendorf, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1854;8;42;361;1330;113;141;1389;257;67
31.12.2024;    Warendorf, Kreis;L;Grundstücks- und Wohnungswesen;378;5;38;97;167;71;29;259;44;46
31.12.2024;    Warendorf, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;9555;595;1718;2133;3659;1450;2110;4902;1423;1120
31.12.2024;    Warendorf, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;26150;939;3147;7848;11482;2734;3811;16750;4587;1002
31.12.2024;    Warendorf, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2469;40;463;693;862;411;355;1557;302;255
31.12.2024;    Warendorf, Kreis;;Insgesamt;102740;3901;19422;29843;35485;14089;16564;64938;12899;8339
31.12.2024;  Detmold, Regierungsbezirk;A;Land- und Forstwirtschaft, Fischerei;4558;99;855;1407;1132;1065;802;2387;390;979
31.12.2024;  Detmold, Regierungsbezirk;B-F;Produzierendes Gewerbe;300103;6892;61932;96261;90549;44469;46623;189882;36088;27510
31.12.2024;  Detmold, Regierungsbezirk;B-E;Produzierendes Gewerbe ohne Baugewerbe;253468;5503;49590;80348;82001;36026;38453;159452;33960;21603
31.12.2024;  Detmold, Regierungsbezirk;C;Verarbeitendes Gewerbe;241425;5299;47027;76116;77828;35155;36923;150962;32470;21070
31.12.2024;  Detmold, Regierungsbezirk;F;Baugewerbe;46635;1389;12342;15913;8548;8443;8170;30430;2128;5907
31.12.2024;  Detmold, Regierungsbezirk;G-T;Dienstleistungsbereich;583632;15533;76394;167242;248320;76143;92486;340530;99155;51461
31.12.2024;  Detmold, Regierungsbezirk;G-I;Handel, Gastgewerbe, Verkehr;186479;5747;36899;61472;53543;28818;35768;115052;13660;21999
31.12.2024;  Detmold, Regierungsbezirk;J;Information und Kommunikation;26543;89;600;3898;19654;2302;2781;11535;10203;2024
31.12.2024;  Detmold, Regierungsbezirk;K;Erbringung von Finanz- und Versicherungsdienstleistungen;16841;35;455;3561;11987;803;1214;12706;2407;514
31.12.2024;  Detmold, Regierungsbezirk;L;Grundstücks- und Wohnungswesen;5277;49;520;1543;2610;555;456;3489;916;416
31.12.2024;  Detmold, Regierungsbezirk;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;90918;3936;13733;22186;39829;11234;18356;45115;17613;9834
31.12.2024;  Detmold, Regierungsbezirk;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;229419;5179;20048;66696;108966;28530;29370;137258;49124;13667
31.12.2024;  Detmold, Regierungsbezirk;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;28155;498;4139;7886;11731;3901;4541;15375;5232;3007
31.12.2024;  Detmold, Regierungsbezirk;;Insgesamt;888307;22524;139181;264910;340015;121677;139911;532800;135646;79950
31.12.2024;    Bielefeld, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;297;.;.;41;76;147;38;96;22;141
31.12.2024;    Bielefeld, krfr. Stadt;B-F;Produzierendes Gewerbe;34935;.;.;10291;12614;5394;5208;21312;5612;2803
31.12.2024;    Bielefeld, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;28707;531;4514;8310;11263;4089;4053;17631;5203;1820
31.12.2024;    Bielefeld, krfr. Stadt;C;Verarbeitendes Gewerbe;25669;483;3876;7342;9959;4009;3704;15546;4675;1744
31.12.2024;    Bielefeld, krfr. Stadt;F;Baugewerbe;6228;.;.;1981;1351;1305;1155;3681;409;983
31.12.2024;    Bielefeld, krfr. Stadt;G-T;Dienstleistungsbereich;133625;3360;13726;30734;66661;19144;22534;69228;29652;12211
31.12.2024;    Bielefeld, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;36000;1316;5990;10652;12134;5908;7744;20286;3375;4595
31.12.2024;    Bielefeld, krfr. Stadt;J;Information und Kommunikation;7403;21;138;1128;5610;506;709;3307;2986;401
31.12.2024;    Bielefeld, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;3160;6;93;572;2334;155;207;2254;570;129
31.12.2024;    Bielefeld, krfr. Stadt;L;Grundstücks- und Wohnungswesen;2122;7;180;626;1133;176;136;1428;417;141
31.12.2024;    Bielefeld, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;22206;1215;2993;4724;10686;2588;4888;9423;5450;2445
31.12.2024;    Bielefeld, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;56400;670;3546;11512;31643;9029;7707;29348;15450;3895
31.12.2024;    Bielefeld, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;6334;125;786;1520;3121;782;1143;3182;1404;605
31.12.2024;    Bielefeld, krfr. Stadt;;Insgesamt;168857;4112;19643;41066;79351;24685;27780;90636;35286;15155
31.12.2024;    Gütersloh, Kreis;A;Land- und Forstwirtschaft, Fischerei;977;26;201;317;194;239;197;518;57;205
31.12.2024;    Gütersloh, Kreis;B-F;Produzierendes Gewerbe;87876;2762;18074;24179;25012;17849;14713;51214;10197;11752
31.12.2024;    Gütersloh, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;77468;2426;15415;20574;22915;16138;12891;44322;9705;10550
31.12.2024;    Gütersloh, Kreis;C;Verarbeitendes Gewerbe;75791;2400;15072;19989;22354;15976;12644;43148;9523;10476
31.12.2024;    Gütersloh, Kreis;F;Baugewerbe;10408;336;2659;3605;2097;1711;1822;6892;492;1202
31.12.2024;    Gütersloh, Kreis;G-T;Dienstleistungsbereich;98075;2238;14183;28148;39079;14427;14518;57547;15166;10844
31.12.2024;    Gütersloh, Kreis;G-I;Handel, Gastgewerbe, Verkehr;37603;1025;7652;12412;10786;5728;6170;23963;3011;4459
31.12.2024;    Gütersloh, Kreis;J;Information und Kommunikation;5417;11;78;698;3782;848;461;2048;2081;827
31.12.2024;    Gütersloh, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2524;10;51;524;1780;159;182;2004;291;47
31.12.2024;    Gütersloh, Kreis;L;Grundstücks- und Wohnungswesen;618;9;72;167;281;89;69;408;86;55
31.12.2024;    Gütersloh, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;20104;857;3039;4641;8478;3089;3925;9692;3700;2787
31.12.2024;    Gütersloh, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;27681;264;2704;8519;12260;3934;3115;17028;5248;2290
31.12.2024;    Gütersloh, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;4128;62;587;1187;1712;580;596;2404;749;379
31.12.2024;    Gütersloh, Kreis;;Insgesamt;186941;5026;32458;52644;64298;32515;29428;109279;25433;22801
31.12.2024;    Herford, Kreis;A;Land- und Forstwirtschaft, Fischerei;403;8;73;137;117;68;70;251;36;46
31.12.2024;    Herford, Kreis;B-F;Produzierendes Gewerbe;37214;838;7834;12892;10921;4729;5747;24924;3619;2924
31.12.2024;    Herford, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;31611;650;6506;10958;9987;3510;4778;21404;3381;2048
31.12.2024;    Herford, Kreis;C;Verarbeitendes Gewerbe;30079;624;6159;10390;9492;3414;4600;20291;3212;1976
31.12.2024;    Herford, Kreis;F;Baugewerbe;5603;188;1328;1934;934;1219;969;3520;238;876
31.12.2024;    Herford, Kreis;G-T;Dienstleistungsbereich;58599;1717;8315;19626;22774;6167;10078;36046;8097;4378
31.12.2024;    Herford, Kreis;G-I;Handel, Gastgewerbe, Verkehr;22349;672;4278;8044;6131;3224;4369;13801;1389;2790
31.12.2024;    Herford, Kreis;J;Information und Kommunikation;1330;.;.;251;952;90;176;666;419;69
31.12.2024;    Herford, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1568;.;.;390;1097;52;92;1213;219;44
31.12.2024;    Herford, Kreis;L;Grundstücks- und Wohnungswesen;365;5;42;109;162;47;41;226;60;38
31.12.2024;    Herford, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;8110;357;1444;2136;3454;719;1720;4397;1405;588
31.12.2024;    Herford, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;22310;616;2071;7893;10094;1636;3154;14331;4261;564
31.12.2024;    Herford, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2567;59;422;803;884;399;526;1412;344;285
31.12.2024;    Herford, Kreis;;Insgesamt;96216;2563;16222;32655;33812;10964;15895;61221;11752;7348
31.12.2024;    Höxter, Kreis;A;Land- und Forstwirtschaft, Fischerei;485;.;.;166;127;85;92;279;44;70
31.12.2024;    Höxter, Kreis;B-F;Produzierendes Gewerbe;14705;.;.;5429;3365;1504;2232;10770;891;812
31.12.2024;    Höxter, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;11475;168;3128;4341;2825;1013;1684;8543;778;470
31.12.2024;    Höxter, Kreis;C;Verarbeitendes Gewerbe;10863;160;3000;4122;2635;946;1600;8096;725;442
31.12.2024;    Höxter, Kreis;F;Baugewerbe;3230;.;.;1088;540;491;548;2227;113;342
31.12.2024;    Höxter, Kreis;G-T;Dienstleistungsbereich;30328;877;4800;9633;10757;4261;4363;20079;3660;2226
31.12.2024;    Höxter, Kreis;G-I;Handel, Gastgewerbe, Verkehr;10281;242;2396;3720;2494;1429;1720;7140;519;902
31.12.2024;    Höxter, Kreis;J;Information und Kommunikation;351;.;.;91;224;18;36;243;63;9
31.12.2024;    Höxter, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1169;.;.;255;824;34;100;858;195;16
31.12.2024;    Höxter, Kreis;L;Grundstücks- und Wohnungswesen;202;4;33;76;73;16;22;139;28;13
31.12.2024;    Höxter, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;2477;55;462;672;924;364;446;1413;323;295
31.12.2024;    Höxter, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;14691;553;1612;4510;5918;2098;1873;9649;2417;752
31.12.2024;    Höxter, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;1157;18;228;309;300;302;166;637;115;239
31.12.2024;    Höxter, Kreis;;Insgesamt;45518;1141;9050;15228;14249;5850;6687;31128;4595;3108
31.12.2024;    Lippe, Kreis;A;Land- und Forstwirtschaft, Fischerei;868;10;137;281;274;166;151;407;124;186
31.12.2024;    Lippe, Kreis;B-F;Produzierendes Gewerbe;42629;701;8371;14561;13659;5337;6611;27440;5766;2812
31.12.2024;    Lippe, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;35545;524;6515;12051;12443;4012;5340;22929;5442;1834
31.12.2024;    Lippe, Kreis;C;Verarbeitendes Gewerbe;34069;500;6184;11526;11995;3864;5131;21868;5314;1756
31.12.2024;    Lippe, Kreis;F;Baugewerbe;7084;177;1856;2510;1216;1325;1271;4511;324;978
31.12.2024;    Lippe, Kreis;G-T;Dienstleistungsbereich;79002;2300;10699;25413;31612;8978;12558;48040;11947;6457
31.12.2024;    Lippe, Kreis;G-I;Handel, Gastgewerbe, Verkehr;24960;1085;5096;8121;6876;3782;5518;14726;1888;2828
31.12.2024;    Lippe, Kreis;J;Information und Kommunikation;1726;3;77;379;1149;118;155;1094;402;75
31.12.2024;    Lippe, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;3478;7;71;699;2495;206;247;2514;558;159
31.12.2024;    Lippe, Kreis;L;Grundstücks- und Wohnungswesen;436;10;49;113;179;85;47;260;66;63
31.12.2024;    Lippe, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;9842;274;1339;2862;4212;1155;1711;5592;1647;892
31.12.2024;    Lippe, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;34019;838;3354;11779;14916;3132;4186;21205;6588;2040
31.12.2024;    Lippe, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;4541;83;713;1460;1785;500;694;2649;798;400
31.12.2024;    Lippe, Kreis;;Insgesamt;122500;3011;19207;40255;45546;14481;19320;75888;17837;9455
31.12.2024;    Minden-Lübbecke, Kreis;A;Land- und Forstwirtschaft, Fischerei;628;15;116;206;121;170;91;343;32;162
31.12.2024;    Minden-Lübbecke, Kreis;B-F;Produzierendes Gewerbe;45289;758;8822;15827;14749;5133;6202;29809;6006;3272
31.12.2024;    Minden-Lübbecke, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;38470;583;6818;13451;13640;3978;5024;25119;5781;2546
31.12.2024;    Minden-Lübbecke, Kreis;C;Verarbeitendes Gewerbe;36170;519;6313;12613;12977;3748;4720;23481;5553;2416
31.12.2024;    Minden-Lübbecke, Kreis;F;Baugewerbe;6819;175;2004;2376;1109;1155;1178;4690;225;726
31.12.2024;    Minden-Lübbecke, Kreis;G-T;Dienstleistungsbereich;90706;3447;12768;29317;34058;11116;14752;57317;12059;6578
31.12.2024;    Minden-Lübbecke, Kreis;G-I;Handel, Gastgewerbe, Verkehr;27630;702;5852;9883;7186;4007;5096;18196;1528;2810
31.12.2024;    Minden-Lübbecke, Kreis;J;Information und Kommunikation;2346;6;52;531;1605;152;211;1396;625;114
31.12.2024;    Minden-Lübbecke, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2259;5;80;550;1540;84;168;1851;192;48
31.12.2024;    Minden-Lübbecke, Kreis;L;Grundstücks- und Wohnungswesen;882;11;80;253;474;64;70;611;158;43
31.12.2024;    Minden-Lübbecke, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;14157;615;2246;3975;5849;1472;2805;7936;2324;1092
31.12.2024;    Minden-Lübbecke, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;39643;2026;3862;12869;16147;4739;5700;25093;6798;2052
31.12.2024;    Minden-Lübbecke, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3789;82;596;1256;1257;598;702;2234;434;419
31.12.2024;    Minden-Lübbecke, Kreis;;Insgesamt;136623;4220;21706;45350;48928;16419;21045;87469;18097;10012
31.12.2024;    Paderborn, Kreis;A;Land- und Forstwirtschaft, Fischerei;900;29;199;259;223;190;163;493;75;169
31.12.2024;    Paderborn, Kreis;B-F;Produzierendes Gewerbe;37455;828;8793;13082;10229;4523;5910;24413;3997;3135
31.12.2024;    Paderborn, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;30192;621;6694;10663;8928;3286;4683;19504;3670;2335
31.12.2024;    Paderborn, Kreis;C;Verarbeitendes Gewerbe;28784;613;6423;10134;8416;3198;4524;18532;3468;2260
31.12.2024;    Paderborn, Kreis;F;Baugewerbe;7263;207;2099;2419;1301;1237;1227;4909;327;800
31.12.2024;    Paderborn, Kreis;G-T;Dienstleistungsbereich;93297;1594;11903;24371;43379;12050;13683;52273;18574;8767
31.12.2024;    Paderborn, Kreis;G-I;Handel, Gastgewerbe, Verkehr;27656;705;5635;8640;7936;4740;5151;16940;1950;3615
31.12.2024;    Paderborn, Kreis;J;Information und Kommunikation;7970;38;210;820;6332;570;1033;2781;3627;529
31.12.2024;    Paderborn, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2683;4;78;571;1917;113;218;2012;382;71
31.12.2024;    Paderborn, Kreis;L;Grundstücks- und Wohnungswesen;652;3;64;199;308;78;71;417;101;63
31.12.2024;    Paderborn, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;14022;563;2210;3176;6226;1847;2861;6662;2764;1735
31.12.2024;    Paderborn, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;34675;212;2899;9614;17988;3962;3635;20604;8362;2074
31.12.2024;    Paderborn, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;5639;69;807;1351;2672;740;714;2857;1388;680
31.12.2024;    Paderborn, Kreis;;Insgesamt;131652;2451;20895;37712;53831;16763;19756;77179;22646;12071
31.12.2024;  Arnsberg, Regierungsbezirk;A;Land- und Forstwirtschaft, Fischerei;4017;104;804;1209;979;921;718;2108;355;836
31.12.2024;  Arnsberg, Regierungsbezirk;B-F;Produzierendes Gewerbe;426322;9122;101465;130553;127429;57753;65391;277997;50426;32508
31.12.2024;  Arnsberg, Regierungsbezirk;B-E;Produzierendes Gewerbe ohne Baugewerbe;352046;6509;81663;107712;113511;42651;51881;232048;46787;21330
31.12.2024;  Arnsberg, Regierungsbezirk;C;Verarbeitendes Gewerbe;322550;6109;76072;98543;101081;40745;48802;213166;40703;19879
31.12.2024;  Arnsberg, Regierungsbezirk;F;Baugewerbe;74276;2613;19802;22841;13918;15102;13510;45949;3639;11178
31.12.2024;  Arnsberg, Regierungsbezirk;G-T;Dienstleistungsbereich;990311;29177;141599;267423;419279;132833;168684;567933;163673;90021
31.12.2024;  Arnsberg, Regierungsbezirk;G-I;Handel, Gastgewerbe, Verkehr;304187;10698;63990;92149;82115;55235;61677;180384;19266;42860
31.12.2024;  Arnsberg, Regierungsbezirk;J;Information und Kommunikation;32967;118;853;4664;24679;2653;3954;14192;12659;2162
31.12.2024;  Arnsberg, Regierungsbezirk;K;Erbringung von Finanz- und Versicherungsdienstleistungen;31336;82;950;6511;21882;1911;2432;23090;4776;1038
31.12.2024;  Arnsberg, Regierungsbezirk;L;Grundstücks- und Wohnungswesen;11273;143;1474;2645;5577;1434;1276;6883;1972;1142
31.12.2024;  Arnsberg, Regierungsbezirk;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;161425;7104;26137;36078;70564;21542;34055;77328;31017;19025
31.12.2024;  Arnsberg, Regierungsbezirk;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;404438;10012;41631;113839;196033;42923;57793;242331;86223;18091
31.12.2024;  Arnsberg, Regierungsbezirk;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;44685;1020;6564;11537;18429;7135;7497;23725;7760;5703
31.12.2024;  Arnsberg, Regierungsbezirk;;Insgesamt;1420653;38404;243868;399185;547688;191508;234794;848038;214455;123366
31.12.2024;    Bochum, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;31;-;6;10;5;10;.;15;.;11
31.12.2024;    Bochum, krfr. Stadt;B-F;Produzierendes Gewerbe;24672;580;4879;6916;7554;4743;.;15806;.;2292
31.12.2024;    Bochum, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;16413;285;2963;4540;5612;3013;2374;10822;2178;1039
31.12.2024;    Bochum, krfr. Stadt;C;Verarbeitendes Gewerbe;13842;244;2520;3652;4540;2886;2082;9094;1732;934
31.12.2024;    Bochum, krfr. Stadt;F;Baugewerbe;8259;295;1916;2376;1942;1730;.;4984;.;1253
31.12.2024;    Bochum, krfr. Stadt;G-T;Dienstleistungsbereich;126581;2873;14001;26787;63977;18943;20925;65085;28842;11729
31.12.2024;    Bochum, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;33843;1298;6056;8171;10716;7602;7086;18336;2832;5589
31.12.2024;    Bochum, krfr. Stadt;J;Information und Kommunikation;5853;35;170;733;4445;470;738;2449;2241;425
31.12.2024;    Bochum, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2987;18;98;546;2148;177;248;2027;568;144
31.12.2024;    Bochum, krfr. Stadt;L;Grundstücks- und Wohnungswesen;2668;29;214;454;1755;216;326;1416;749;177
31.12.2024;    Bochum, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;22105;765;2929;4284;11363;2764;4562;9236;5956;2351
31.12.2024;    Bochum, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;53627;607;3855;11438;31038;6689;6999;29035;15412;2181
31.12.2024;    Bochum, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;5498;121;679;1161;2512;1025;966;2586;1084;862
31.12.2024;    Bochum, krfr. Stadt;;Insgesamt;151284;3453;18886;33713;71536;23696;24826;80906;31520;14032
31.12.2024;    Dortmund, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;142;6;19;24;32;61;34;45;9;54
31.12.2024;    Dortmund, krfr. Stadt;B-F;Produzierendes Gewerbe;43768;837;7102;11059;17775;6995;5688;24627;9190;4263
31.12.2024;    Dortmund, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;32428;305;4465;8161;15748;3749;3502;18627;8606;1693
31.12.2024;    Dortmund, krfr. Stadt;C;Verarbeitendes Gewerbe;24600;229;3606;6297;10887;3581;2880;14865;5338;1517
31.12.2024;    Dortmund, krfr. Stadt;F;Baugewerbe;11340;532;2637;2898;2027;3246;2186;6000;584;2570
31.12.2024;    Dortmund, krfr. Stadt;G-T;Dienstleistungsbereich;224080;7270;25904;53510;107379;30017;39844;116405;46099;21732
31.12.2024;    Dortmund, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;60085;2747;11493;17192;16859;11794;13589;32989;3968;9539
31.12.2024;    Dortmund, krfr. Stadt;J;Information und Kommunikation;14219;33;214;1557;11143;1272;1647;5230;6275;1067
31.12.2024;    Dortmund, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;11675;7;233;2204;8756;475;831;8008;2566;270
31.12.2024;    Dortmund, krfr. Stadt;L;Grundstücks- und Wohnungswesen;2519;33;396;628;1093;369;285;1600;340;294
31.12.2024;    Dortmund, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;46220;2299;5910;8844;22496;6671;9651;19355;11055;6159
31.12.2024;    Dortmund, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;78376;1930;6555;20481;41447;7963;12186;43652;19361;3177
31.12.2024;    Dortmund, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;10986;221;1103;2604;5585;1473;1655;5571;2534;1226
31.12.2024;    Dortmund, krfr. Stadt;;Insgesamt;267991;8113;33025;64593;125186;37074;45566;141077;55299;26049
31.12.2024;    Hagen, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;32;.;5;.;.;.;.;11;.;.
31.12.2024;    Hagen, krfr. Stadt;B-F;Produzierendes Gewerbe;17325;.;4693;.;.;.;.;11529;.;.
31.12.2024;    Hagen, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;14430;341;3825;4182;4422;1660;2174;9733;1642;881
31.12.2024;    Hagen, krfr. Stadt;C;Verarbeitendes Gewerbe;13518;322;3613;3912;4043;1628;2070;9118;1469;861
31.12.2024;    Hagen, krfr. Stadt;F;Baugewerbe;2895;.;868;.;.;.;.;1796;.;.
31.12.2024;    Hagen, krfr. Stadt;G-T;Dienstleistungsbereich;51448;1663;8758;13357;21033;6637;9724;29242;7954;4528
31.12.2024;    Hagen, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;16304;538;3539;4681;4644;2902;3517;9349;1006;2432
31.12.2024;    Hagen, krfr. Stadt;J;Information und Kommunikation;736;.;.;190;434;78;96;433;150;57
31.12.2024;    Hagen, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1391;.;.;257;997;98;153;1041;140;57
31.12.2024;    Hagen, krfr. Stadt;L;Grundstücks- und Wohnungswesen;529;11;65;122;263;68;59;324;80;66
31.12.2024;    Hagen, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;8189;414;1851;1895;3204;825;2029;4207;1133;820
31.12.2024;    Hagen, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;21475;572;2755;5586;10417;2145;3279;12579;4954;663
31.12.2024;    Hagen, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2824;119;484;626;1074;521;591;1309;491;433
31.12.2024;    Hagen, krfr. Stadt;;Insgesamt;68805;2150;13456;18342;25965;8892;12517;40782;9703;5803
31.12.2024;    Hamm, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;87;.;18;20;20;.;25;42;6;14
31.12.2024;    Hamm, krfr. Stadt;B-F;Produzierendes Gewerbe;14762;.;3896;4112;3252;.;2386;8942;1097;2337
31.12.2024;    Hamm, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;10518;205;2667;2917;2568;2161;1536;6528;889;1565
31.12.2024;    Hamm, krfr. Stadt;C;Verarbeitendes Gewerbe;9143;172;2269;2483;2167;2052;1351;5567;753;1472
31.12.2024;    Hamm, krfr. Stadt;F;Baugewerbe;4244;.;1229;1195;684;.;850;2414;208;772
31.12.2024;    Hamm, krfr. Stadt;G-T;Dienstleistungsbereich;48476;1398;8119;13056;18278;7625;8385;28745;6392;4954
31.12.2024;    Hamm, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;15578;523;3665;4378;3724;3288;3479;8935;856;2308
31.12.2024;    Hamm, krfr. Stadt;J;Information und Kommunikation;578;3;28;119;384;44;73;364;111;30
31.12.2024;    Hamm, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1522;4;38;328;951;201;142;1067;158;155
31.12.2024;    Hamm, krfr. Stadt;L;Grundstücks- und Wohnungswesen;339;5;39;67;177;51;49;193;63;34
31.12.2024;    Hamm, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;7659;648;1841;1972;2319;879;1983;4150;765;761
31.12.2024;    Hamm, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;20554;158;2171;5676;9813;2736;2248;12842;4132;1332
31.12.2024;    Hamm, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2246;57;337;516;910;426;411;1194;307;334
31.12.2024;    Hamm, krfr. Stadt;;Insgesamt;63325;1769;12033;17188;21550;10785;10796;37729;7495;7305
31.12.2024;    Herne, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;10;-;4;.;.;.;.;4;-;.
31.12.2024;    Herne, krfr. Stadt;B-F;Produzierendes Gewerbe;11120;278;2548;.;.;.;.;7067;921;.
