Tabelle: 13111-54i
Sozialversicherungspflichtige Beschäftigte (Arbeitsort) nach;;;;;;;;;;;;;
Wirtschaftsabschnitte sowie Schul- und Berufsabschluss -;;;;;;;;;;;;;
kreisfreie Städte und Kreise - Stichtag (ab 2021);;;;;;;;;;;;;
Statistik der sozialversicherungspflichtig Beschäftigten;;;;;;;;;;;;;
Sozialversicherungspfl. Beschäftigte (Arbeitsort) (Anzahl);;;;;;;;;;;;;
;;;;Insgesamt;ohne Schulabschluss;mit Volks-/Haupschulabschluss;mit mittlerer Reife/gleichwertigem Abschluss;mit Abitur/Fachabitur;Abschluss unbekannt;ohne beruflichen Ausbildungsabschluss;mit anerkanntem Berufsabschluss;mit akademischem Abschluss;Ausbildung unbekannt
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;C;Verarbeitendes Gewerbe;11373;130;2133;3097;4976;1037;1488;6619;2712;554
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;F;Baugewerbe;4085;115;924;1270;993;783;652;2581;284;568
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;G-T;Dienstleistungsbereich;48374;961;5457;10407;24860;6689;7059;24988;11704;4623
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;13607;489;2428;3636;4446;2608;2594;7888;1175;1950
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;J;Information und Kommunikation;994;8;26;89;675;196;103;346;382;163
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1403;-;28;214;1088;73;114;943;309;37
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;L;Grundstücks- und Wohnungswesen;868;7;93;210;471;87;84;531;180;73
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;14391;285;1257;2063;9746;1040;1742;5745;6064;840
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;15206;132;1323;3709;7691;2351;2094;8518;3332;1262
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;1905;40;302;486;743;334;328;1017;262;298
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;;Insgesamt;64950;1230;8711;15142;31256;8611;9330;34908;14900;5812
31.12.2024;    Oberhausen, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;17;.;6;3;5;.;4;9;-;4
31.12.2024;    Oberhausen, krfr. Stadt;B-F;Produzierendes Gewerbe;16011;.;3397;4277;4383;.;2344;9878;1773;2016
31.12.2024;    Oberhausen, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;10392;146;1953;2567;3409;2317;1323;6547;1549;973
31.12.2024;    Oberhausen, krfr. Stadt;C;Verarbeitendes Gewerbe;7134;89;1332;1887;2764;1062;776;4532;1371;455
31.12.2024;    Oberhausen, krfr. Stadt;F;Baugewerbe;5619;.;1444;1710;974;.;1021;3331;224;1043
31.12.2024;    Oberhausen, krfr. Stadt;G-T;Dienstleistungsbereich;54784;2017;9325;14227;20920;8295;10826;30639;7324;5995
31.12.2024;    Oberhausen, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;18426;778;3840;4970;4748;4090;4114;10198;984;3130
31.12.2024;    Oberhausen, krfr. Stadt;J;Information und Kommunikation;1299;.;.;174;917;162;148;565;435;151
31.12.2024;    Oberhausen, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1028;6;37;210;684;91;73;805;97;53
31.12.2024;    Oberhausen, krfr. Stadt;L;Grundstücks- und Wohnungswesen;836;.;.;184;488;70;78;554;141;63
31.12.2024;    Oberhausen, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;10331;931;2156;2226;3449;1569;2741;4763;1313;1514
31.12.2024;    Oberhausen, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;20053;231;2737;5803;9558;1724;3085;12222;3982;764
31.12.2024;    Oberhausen, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2811;63;423;660;1076;589;587;1532;372;320
31.12.2024;    Oberhausen, krfr. Stadt;;Insgesamt;70812;2366;12728;18507;25308;11903;13174;40526;9097;8015
31.12.2024;    Remscheid, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;38;-;8;10;11;9;5;20;4;9
31.12.2024;    Remscheid, krfr. Stadt;B-F;Produzierendes Gewerbe;19466;481;4836;5195;6921;2033;3139;11857;3137;1333
31.12.2024;    Remscheid, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;17284;377;4270;4536;6445;1656;2673;10513;3023;1075
31.12.2024;    Remscheid, krfr. Stadt;C;Verarbeitendes Gewerbe;16597;373;4123;4308;6140;1653;2591;10084;2857;1065
31.12.2024;    Remscheid, krfr. Stadt;F;Baugewerbe;2182;104;566;659;476;377;466;1344;114;258
31.12.2024;    Remscheid, krfr. Stadt;G-T;Dienstleistungsbereich;27371;1015;4171;7877;10772;3536;4801;15922;4024;2624
31.12.2024;    Remscheid, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;7396;231;1565;2256;1968;1376;1498;4388;508;1002
31.12.2024;    Remscheid, krfr. Stadt;J;Information und Kommunikation;701;.;.;133;477;60;67;325;259;50
31.12.2024;    Remscheid, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;799;-;23;96;640;40;69;589;117;24
31.12.2024;    Remscheid, krfr. Stadt;L;Grundstücks- und Wohnungswesen;169;.;.;49;75;26;9;125;19;16
31.12.2024;    Remscheid, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;5406;327;1151;1238;1691;999;1342;2542;578;944
31.12.2024;    Remscheid, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;12015;426;1220;3867;5602;900;1658;7474;2409;474
31.12.2024;    Remscheid, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;885;25;168;238;319;135;158;479;134;114
31.12.2024;    Remscheid, krfr. Stadt;;Insgesamt;46875;1496;9015;13082;17704;5578;7945;27799;7165;3966
31.12.2024;    Solingen, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;25;.;4;9;4;.;6;14;-;5
31.12.2024;    Solingen, krfr. Stadt;B-F;Produzierendes Gewerbe;16817;.;4495;4433;4602;.;4040;9710;1523;1544
31.12.2024;    Solingen, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;14595;506;3957;3715;4182;2235;3485;8394;1456;1260
31.12.2024;    Solingen, krfr. Stadt;C;Verarbeitendes Gewerbe;13035;457;3510;3240;3657;2171;3180;7412;1241;1202
31.12.2024;    Solingen, krfr. Stadt;F;Baugewerbe;2222;.;538;718;420;.;555;1316;67;284
31.12.2024;    Solingen, krfr. Stadt;G-T;Dienstleistungsbereich;35534;1441;4867;9726;15321;4179;6895;19652;6033;2954
31.12.2024;    Solingen, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;10859;336;1939;3178;3654;1752;2065;6205;1223;1366
31.12.2024;    Solingen, krfr. Stadt;J;Information und Kommunikation;1969;10;79;313;1403;164;305;707;791;166
31.12.2024;    Solingen, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;819;6;18;146;511;138;81;581;86;71
31.12.2024;    Solingen, krfr. Stadt;L;Grundstücks- und Wohnungswesen;537;3;77;119;283;55;53;355;81;48
