Tabelle: 22161-08i
Empfänger/-innen von Eingliederungshilfe nach Alter (6),;;;;;;;;;;
Leistungsart (5) und Träger (2) - Region - Stichtag;;;;;;;;;;
(Trägerprinzip);;;;;;;;;;
Statistik der Empfänger/-innen von Eingliederungshilfe nach dem SGB IX;;;;;;;;;;
;;;;Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip)
;;;;Insgesamt;unter 7 Jahre;7 bis unter 18 Jahre;18 bis unter 25 Jahre;25 bis unter 50 Jahre;50 bis unter 65 Jahre;65 Jahre und mehr
;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2023;Rheinland;Insgesamt;Leistungen zur Teilhabe an Bildung;7125;345;6185;510;80;5;-
31.12.2023;Rheinland;Insgesamt;Leistungen zur Sozialen Teilhabe;79485;16170;780;3210;28765;22565;8000
31.12.2023;Rheinland;Insgesamt;Sonstige Leistungen der Eingliederungshilfe;795;30;480;160;45;40;35
31.12.2023;Rheinland;Insgesamt;Insgesamt;107485;20770;7395;6085;38650;26430;8155
31.12.2023;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur medizinischen Rehabilitation;5;-;5;-;-;-;-
31.12.2023;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe am Arbeitsleben;-;-;-;-;-;-;-
31.12.2023;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe an Bildung;5870;345;5220;300;0;-;-
31.12.2023;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Sozialen Teilhabe;985;55;255;50;205;190;235
31.12.2023;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Sonstige Leistungen der Eingliederungshilfe;25;5;20;5;0;-;-
31.12.2023;Westfalen-Lippe;Kreise und kreisfreie Städte (inkl. Delegation);Insgesamt;6780;390;5415;345;205;190;235
31.12.2023;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur medizinischen Rehabilitation;5935;5890;25;5;20;-;-
31.12.2023;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe am Arbeitsleben;36500;-;-;2675;21360;12045;425
31.12.2023;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe an Bildung;1215;0;790;400;20;-;-
31.12.2023;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Leistungen zur Sozialen Teilhabe;83340;20730;80;3490;29130;22320;7590
31.12.2023;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Sonstige Leistungen der Eingliederungshilfe;1285;45;495;260;265;130;95
31.12.2023;Westfalen-Lippe;Landschaftsverband (ohne Delegation);Insgesamt;105255;23945;1360;5955;39460;26740;7795
31.12.2023;Westfalen-Lippe;Insgesamt;Leistungen zur medizinischen Rehabilitation;5940;5890;25;5;20;-;-
31.12.2023;Westfalen-Lippe;Insgesamt;Leistungen zur Teilhabe am Arbeitsleben;36500;-;-;2675;21360;12045;425
