Tabelle: 12411-02-03-4
Bevölkerung nach Geschlecht und Altersgruppen (17) -;;;;;;
Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;
Bevölkerungsstand (Anzahl);;;;;;
;;;;Insgesamt;männlich;weiblich
31.12.2023;057;    Detmold, Regierungsbezirk;10 bis unter 15 Jahre;99697;50955;48742
31.12.2023;057;    Detmold, Regierungsbezirk;15 bis unter 18 Jahre;62999;32671;30328
31.12.2023;057;    Detmold, Regierungsbezirk;18 bis unter 20 Jahre;43384;22642;20742
31.12.2023;057;    Detmold, Regierungsbezirk;Insgesamt;2072972;1025007;1047965
31.12.2023;05711;      Bielefeld, kreisfreie Stadt;6 bis unter 10 Jahre;12787;6506;6281
31.12.2023;05711;      Bielefeld, kreisfreie Stadt;10 bis unter 15 Jahre;15397;7907;7490
31.12.2023;05711;      Bielefeld, kreisfreie Stadt;15 bis unter 18 Jahre;9757;5060;4697
31.12.2023;05711;      Bielefeld, kreisfreie Stadt;18 bis unter 20 Jahre;7138;3574;3564
31.12.2023;05711;      Bielefeld, kreisfreie Stadt;Insgesamt;331519;160961;170558
31.12.2023;05754;      Gütersloh, Kreis;6 bis unter 10 Jahre;14709;7581;7128
31.12.2023;05754;      Gütersloh, Kreis;10 bis unter 15 Jahre;17517;8907;8610
31.12.2023;05754;      Gütersloh, Kreis;15 bis unter 18 Jahre;11144;5879;5265
31.12.2023;05754;      Gütersloh, Kreis;18 bis unter 20 Jahre;7694;4056;3638
31.12.2023;05754;      Gütersloh, Kreis;Insgesamt;363674;181356;182318
31.12.2023;05758;      Herford, Kreis;6 bis unter 10 Jahre;10139;5106;5033
31.12.2023;05758;      Herford, Kreis;10 bis unter 15 Jahre;12168;6125;6043
31.12.2023;05758;      Herford, Kreis;15 bis unter 18 Jahre;7652;3902;3750
31.12.2023;05758;      Herford, Kreis;18 bis unter 20 Jahre;5217;2708;2509
31.12.2023;05758;      Herford, Kreis;Insgesamt;254593;125359;129234
31.12.2023;05762;      Höxter, Kreis;6 bis unter 10 Jahre;5245;2690;2555
31.12.2023;05762;      Höxter, Kreis;10 bis unter 15 Jahre;6429;3307;3122
31.12.2023;05762;      Höxter, Kreis;15 bis unter 18 Jahre;4110;2136;1974
31.12.2023;05762;      Höxter, Kreis;18 bis unter 20 Jahre;2798;1497;1301
31.12.2023;05762;      Höxter, Kreis;Insgesamt;139042;69428;69614
31.12.2023;05766;      Lippe, Kreis;6 bis unter 10 Jahre;14315;7477;6838
31.12.2023;05766;      Lippe, Kreis;10 bis unter 15 Jahre;17218;8830;8388
31.12.2023;05766;      Lippe, Kreis;15 bis unter 18 Jahre;10921;5623;5298
31.12.2023;05766;      Lippe, Kreis;18 bis unter 20 Jahre;7101;3760;3341
31.12.2023;05766;      Lippe, Kreis;Insgesamt;347613;170656;176957
31.12.2023;05770;      Minden-Lübbecke, Kreis;6 bis unter 10 Jahre;13097;6755;6342
31.12.2023;05770;      Minden-Lübbecke, Kreis;10 bis unter 15 Jahre;15648;7962;7686
31.12.2023;05770;      Minden-Lübbecke, Kreis;15 bis unter 18 Jahre;9993;5123;4870
31.12.2023;05770;      Minden-Lübbecke, Kreis;18 bis unter 20 Jahre;6622;3527;3095
31.12.2023;05770;      Minden-Lübbecke, Kreis;Insgesamt;320925;159143;161782
31.12.2023;05774;      Paderborn, Kreis;6 bis unter 10 Jahre;12840;6588;6252
31.12.2023;05774;      Paderborn, Kreis;10 bis unter 15 Jahre;15320;7917;7403
31.12.2023;05774;      Paderborn, Kreis;15 bis unter 18 Jahre;9422;4948;4474
31.12.2023;05774;      Paderborn, Kreis;18 bis unter 20 Jahre;6814;3520;3294
31.12.2023;05774;      Paderborn, Kreis;Insgesamt;315606;158104;157502
31.12.2023;059;    Arnsberg, Regierungsbezirk;6 bis unter 10 Jahre;136636;69738;66898
31.12.2023;059;    Arnsberg, Regierungsbezirk;10 bis unter 15 Jahre;161439;82905;78534
31.12.2023;059;    Arnsberg, Regierungsbezirk;15 bis unter 18 Jahre;101001;52421;48580
31.12.2023;059;    Arnsberg, Regierungsbezirk;18 bis unter 20 Jahre;69251;36218;33033
31.12.2023;059;    Arnsberg, Regierungsbezirk;Insgesamt;3573137;1761260;1811877
31.12.2023;05911;      Bochum, kreisfreie Stadt;6 bis unter 10 Jahre;12578;6370;6208
31.12.2023;05911;      Bochum, kreisfreie Stadt;10 bis unter 15 Jahre;14604;7608;6996
31.12.2023;05911;      Bochum, kreisfreie Stadt;15 bis unter 18 Jahre;8895;4635;4260
31.12.2023;05911;      Bochum, kreisfreie Stadt;18 bis unter 20 Jahre;6486;3260;3226
31.12.2023;05911;      Bochum, kreisfreie Stadt;Insgesamt;357024;175323;181701
31.12.2023;05913;      Dortmund, kreisfreie Stadt;6 bis unter 10 Jahre;23710;11970;11740
31.12.2023;05913;      Dortmund, kreisfreie Stadt;10 bis unter 15 Jahre;27548;13927;13621
31.12.2023;05913;      Dortmund, kreisfreie Stadt;15 bis unter 18 Jahre;17096;8739;8357
31.12.2023;05913;      Dortmund, kreisfreie Stadt;18 bis unter 20 Jahre;11873;6078;5795
31.12.2023;05913;      Dortmund, kreisfreie Stadt;Insgesamt;601343;296371;304972
31.12.2023;05914;      Hagen, kreisfreie Stadt;6 bis unter 10 Jahre;7759;4001;3758
31.12.2023;05914;      Hagen, kreisfreie Stadt;10 bis unter 15 Jahre;9261;4723;4538
31.12.2023;05914;      Hagen, kreisfreie Stadt;15 bis unter 18 Jahre;5782;3018;2764
31.12.2023;05914;      Hagen, kreisfreie Stadt;18 bis unter 20 Jahre;3893;2036;1857
31.12.2023;05914;      Hagen, kreisfreie Stadt;Insgesamt;190640;93791;96849
31.12.2023;05915;      Hamm, kreisfreie Stadt;6 bis unter 10 Jahre;7178;3640;3538
