Tabelle: 22811-01i
Sozialberichterstattung in der amtlichen Statistik:;;
Mindestsicherungsquote - Gemeinden (Wohnortprinzip) -Jahr;;
Sozialberichterstattung in der amtlichen Statistik;;
Mindestsicherungsquote (Prozent);;
;;Jahr
;;2023
05774020;      Delbrück, Stadt;5,5
05774024;      Hövelhof;5,1
05774028;      Lichtenau, Stadt;5,7
05774032;      Paderborn, Stadt;10,2
05774036;      Salzkotten, Stadt;5,3
05774040;      Bad Wünnenberg, Stadt;4,8
059;  Arnsberg, Regierungsbezirk;11,8
05911;    Bochum, krfr. Stadt;13,4
05913;    Dortmund, krfr. Stadt;17,5
05914;    Hagen, krfr. Stadt;16,9
05915;    Hamm, krfr. Stadt;11,6
05916;    Herne, krfr. Stadt;17,3
05954;    Ennepe-Ruhr-Kreis;10,8
05954004;      Breckerfeld, Stadt;6,9
05954008;      Ennepetal, Stadt;10,3
05954012;      Gevelsberg, Stadt;11,6
05954016;      Hattingen, Stadt;11,1
05954020;      Herdecke, Stadt;7,6
05954024;      Schwelm, Stadt;12,7
05954028;      Sprockhövel, Stadt;6,3
05954032;      Wetter (Ruhr), Stadt;9,4
05954036;      Witten, Stadt;12,6
05958;    Hochsauerlandkreis;7,0
05958004;      Arnsberg, Stadt;9,1
05958008;      Bestwig;6,6
05958012;      Brilon, Stadt;6,2
05958016;      Eslohe (Sauerland);5,7
05958020;      Hallenberg, Stadt;4,1
05958024;      Marsberg, Stadt;7,6
05958028;      Medebach, Stadt;5,3
05958032;      Meschede, Stadt;5,8
05958036;      Olsberg, Stadt;6,7
05958040;      Schmallenberg, Stadt;5,7
05958044;      Sundern (Sauerland), Stadt;6,3
05958048;      Winterberg, Stadt;5,0
05962;    Märkischer Kreis;9,8
05962004;      Altena, Stadt;10,5
05962008;      Balve, Stadt;5,9
05962012;      Halver, Stadt;6,9
05962016;      Hemer, Stadt;9,4
05962020;      Herscheid;5,7
05962024;      Iserlohn, Stadt;11,9
05962028;      Kierspe, Stadt;7,1
05962032;      Lüdenscheid, Stadt;11,7
05962036;      Meinerzhagen, Stadt;7,8
05962040;      Menden (Sauerland), Stadt;8,3
05962044;      Nachrodt-Wiblingwerde;7,4
05962048;      Neuenrade, Stadt;8,0
05962052;      Plettenberg, Stadt;8,3
05962056;      Schalksmühle;7,1
05962060;      Werdohl, Stadt;12,6
05966;    Olpe, Kreis;5,7
05966004;      Attendorn, Stadt;5,7
05966008;      Drolshagen, Stadt;5,4
05966012;      Finnentrop;5,7
05966016;      Kirchhundem;5,3
05966020;      Lennestadt, Stadt;6,5
05966024;      Olpe, Stadt;6,4
05966028;      Wenden;4,7
05970;    Siegen-Wittgenstein, Kreis;8,4
05970004;      Bad Berleburg, Stadt;5,6
05970008;      Burbach;5,2
05970012;      Erndtebrück;6,0
05970016;      Freudenberg, Stadt;5,0
05970020;      Hilchenbach, Stadt;7,7
05970024;      Kreuztal, Stadt;8,9
05970028;      Bad Laasphe, Stadt;6,6
05970032;      Netphen, Stadt;6,4
05970036;      Neunkirchen;7,2
05970040;      Siegen, Stadt;11,5
05970044;      Wilnsdorf;4,7
05974;    Soest, Kreis;8,4
05974004;      Anröchte;5,1
05974008;      Bad Sassendorf;6,2
05974012;      Ense;5,3
05974016;      Erwitte, Stadt;7,0
05974020;      Geseke, Stadt;6,7
05974024;      Lippetal;6,5
05974028;      Lippstadt, Stadt;9,0
05974032;      Möhnesee;10,6
05974036;      Rüthen, Stadt;6,5
05974040;      Soest, Stadt;10,2
05974044;      Warstein, Stadt;7,9
05974048;      Welver;5,5
05974052;      Werl, Stadt;10,4
05974056;      Wickede (Ruhr);10,6
05978;    Unna, Kreis;10,5
05978004;      Bergkamen, Stadt;12,8
05978008;      Bönen;10,3
05978012;      Fröndenberg / Ruhr, Stadt;6,5
05978016;      Holzwickede;6,9
05978020;      Kamen, Stadt;10,1
05978024;      Lünen, Stadt;14,1
05978028;      Schwerte, Stadt;9,1
05978032;      Selm, Stadt;11,2
05978036;      Unna, Stadt;9,2
05978040;      Werne, Stadt;6,6
05999998;      Wohnort außerhalb von NRW;x
__________
"zu ""Mindestsicherungsquote"":
 
Die Mindestsicherungsquote ist ein zusammengefasster
Indikator, der den prozentualen Anteil der Empfänger/-innen
von Mindestsicherungsleistungen an der Gesamtbevölkerung
darstellt.

2015-2019 Empfänger von Regelleistungen nach dem AsylbLG:
Landesebene -
In den Berichtsjahren 2015, 2017 und 2018 kam es aufgrund
einer Meldeproblematik zu einer Untererfassung und im
Berichtsjahr 2016 zu einer Übererfassung der Empfängerinnen
und Empfängern von Regelleistungen nach dem AsylbLG in
Landesaufnahmeeinrichtungen.
Unterhalb der Landesebene -
Nur Meldungen der örtlichen Träger; ohne Empfängerinnen und
Empfängern von Regelleistungen nach dem AsylbLG in
Landesaufnahmeeinrichtungen. 

2016:
Für sechs Kommunen sind die vorliegenden Bevölkerungszahlen
unplausibel. Damit ist die Genauigkeit der Ergebnisse der
übergeordneten Verwaltungsbezirke eingeschränkt. Die Gründe
hierfür liegen offenbar in der melderechtlichen Behandlung
von Schutzsuchenden. Die Unstimmigkeiten konnten nicht
abschließend aufgelöst werden.

NRW:
In die Berechnung der Mindestsicherungsquote für
Nordrhein-Westfalen gehen auch die Emfänger/-innen mit ein,
die Leistungen nach dem SGB XII oder Regelleistungen nach
dem AsylbLG von einem nordrhein-westfälischen Träger
erhalten, deren Hauptwohnsitz aber außerhalb
Nordrhein-Westfalens liegt.
----
 
Datenquellen:
Bundesagentur für Arbeit, Ergebnisse der Statistik der
Grundsicherung für Arbeitsuchende jeweils zum Berichtsmonat
Dezember. [Datenstand: März 2024]

IT NRW, Ergebnisse der Sozialhilfestatistik, der Statistik
der Grundsicherung im Alter und bei Erwerbsminderung, der
Asylbewerberleistungsstatistik sowie der Fortschreibung des
Bevölkerungsstandes auf Basis der VZ87 (bis 2010) bzw. des
Zensus 2011 (ab 2011) jeweils zum Stichtag 31.12.
----------"
© IT.NRW, Düsseldorf, 2025. Dieses Werk ist lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0.
Stand: 18.12.2025 / 14:36:32
